country_region,iso3,confirmed,death,recovered
Mainland China,CHN,79826,2870,42118
South Korea,KOR,3736,17,30
Italy,ITA,1694,34,83
Iran,IRN,978,54,175
Others,,705,6,10
Japan,JPN,256,6,32
France,FRA,130,2,12
Germany,DEU,130,0,16
Singapore,SGP,106,0,72
Hong Kong,HKG,96,2,36
Spain,ESP,84,0,2
US,USA,76,1,7
Bahrain,BHR,47,0,0
Kuwait,KWT,45,0,0
Thailand,THA,42,1,28
Taiwan,TWN,40,1,9
UK,GBR,36,0,8
Malaysia,MYS,29,0,18
Australia,AUS,27,1,11
Switzerland,CHE,27,0,0
Canada,CAN,24,0,6
United Arab Emirates,ARE,21,0,5
Iraq,IRQ,19,0,0
Norway,NOR,19,0,0
Vietnam,VNM,16,0,16
Austria,AUT,14,0,0
Sweden,SWE,14,0,0
Lebanon,LBN,10,0,0
Macau,MAC,10,0,8
Israel,ISR,10,0,1
Netherlands,NLD,10,0,0
Greece,GRC,7,0,0
Croatia,HRV,7,0,0
Finland,FIN,6,0,1
Ecuador,ECU,6,0,0
Oman,OMN,6,0,1
Mexico,MEX,5,0,0
Denmark,DNK,4,0,0
Pakistan,PAK,4,0,0
Qatar,QAT,3,0,0
Philippines,PHL,3,1,1
Romania,ROU,3,0,0
Azerbaijan,AZE,3,0,0
Georgia,GEO,3,0,0
Iceland,ISL,3,0,0
India,IND,3,0,3
Czech Republic,CZE,3,0,0
Brazil,BRA,2,0,0
Belgium,BEL,2,0,1
Russia,RUS,2,0,2
Egypt,EGY,2,0,1
Luxembourg,LUX,1,0,0
Afghanistan,AFG,1,0,0
Armenia,ARM,1,0,0
Estonia,EST,1,0,0
Ireland,IRL,1,0,0
San Marino,SMR,1,0,0
Dominican Republic,DOM,1,0,0
Algeria,DZA,1,0,0
Lithuania,LTU,1,0,0
Cambodia,KHM,1,0,1
New Zealand,NZL,1,0,0
Nepal,NPL,1,0,1
Belarus,BLR,1,0,0
Nigeria,NGA,1,0,0
North Macedonia,MKD,1,0,0
Sri Lanka,LKA,1,0,1
Monaco,MCO,1,0,0
